Point Latitude,Point Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue_id
35.747700103448274,51.39638581159421,حياط ونك پارك,35.750534,51.397484,Park,574f3755cd10b97ff6e68fb1
35.747700103448274,51.39638581159421,Il Cafe,35.749652,51.397987,Café,5bc783f1b9ac38002c431b2e
35.747700103448274,51.39638581159421,Moj | موج (موج),35.744899299937494,51.39936648120788,Electronics Store,54870dcf498e4eca5a53aca7
35.747700103448274,51.39638581159421,Wasabi Restaurant | رستوران واسابی (رستوران واسابی),35.74490658412381,51.39952927977693,Asian Restaurant,5618de24498e8f45799f5b10
35.747700103448274,51.39638581159421,Vartan Burger & Sandwich | ساندویچ و برگر وارطان,35.75009513705923,51.39845007388057,Fast Food Restaurant,57c01e46cd101c5277dc6d79
35.747700103448274,51.39638581159421,The Address Café | كافه آدرس (کافه آدرس),35.749830598972906,51.39857967549625,Café,57c97e39498e310e8b4ffa9c
35.747700103448274,51.39638581159421,Karen Pizza House | خانه پيتزا كارن,35.745134,51.399461,Pizza Place,56bb7621498e380625fb48a0
35.747700103448274,51.39638581159421,Pizza Sib 360 | پیتزا سیب ۳۶۰ (پیتزا سیب),35.74960745236501,51.400497627321386,Pizza Place,5256e80511d21da7a6f2bd04
35.747700103448274,51.39638581159421,Panj-Dari Restaurant | رستوران پنج‌دری (رستوران پنج‌دری),35.74456792849976,51.39816045053715,Persian Restaurant,58b3345aa19e907b5043fffc
35.747700103448274,51.39638581159421,Jamal-Eddin Asadabadi Park | پارک سید جمال الدین اسدآبادی (پارک سید جمال الدین اسدآبادی),35.74828740306931,51.40184748557377,Park,4fd58ba0e4b09ba568f468b6
35.747700103448274,51.39638581159421,Lee’s Korean Chicken | مرغ کُـره‌ای لیـز (مرغ کُـره‌ای لیـز),35.744473,51.399242,Korean Restaurant,5b59e517fc9e94002c4358aa
35.747700103448274,51.39638581159421,il Gelato di Bruno | ژلاتو دی برونو (ژلاتو دی برونو),35.74484432911857,51.399334601770896,Ice Cream Shop,598077f3e7a2373f3eda4986
35.747700103448274,51.39638581159421,Darko Café | کافه دارکو,35.749973,51.397717,Café,5b0f98d5724750002ca7bc77
35.747700103448274,51.39638581159421,Arte Gallery | گالری آرته (گالری آرته),35.748536337738464,51.39784088945411,Art Gallery,520114d4498e70dc6292f431
35.747700103448274,51.39638581159421,Weiss Cafe - وایس کافه,35.749858849209765,51.39783430654525,Café,5a071352f193c04bf52e7100
35.747700103448274,51.39638581159421,Pure Vegetarian Cuisine | رستوران گیاهی پیور (رستوران گیاهی پیور),35.74453143877608,51.39917887749796,Vegetarian / Vegan Restaurant,55057dfe498e6083ce68e10d
35.747700103448274,51.39638581159421,Donutto (دوناتو),35.74485859892957,51.399519041128016,Donut Shop,5a9ae0506f0aa268c7e722de
35.747700103448274,51.39638581159421,Barana Café,35.744923,51.39959,Coffee Shop,58595c056ad73d0218ad6382
35.747700103448274,51.39638581159421,Shahoo Juice Bar,35.748324,51.401368,Juice Bar,58b6e85e51666a6d7561d3b3
35.747700103448274,51.39638581159421,Khayam Café | کافه خیام,35.74469203962043,51.399207658345766,Hookah Bar,528a5b4111d2e1063be253e7
35.747700103448274,51.39638581159421,Calma Lounge (کالما لانج),35.7441017822505,51.39876080942362,Café,519f8170498e9e0bdfe425ce
35.747700103448274,51.39638581159421,Mam Mad Steak House | مَم‌مَد استیک هاوس (مَم‌مَد استیک هاوس),35.745358254348766,51.39966466680484,Steakhouse,56e6a900cd10a13a7e2fe87f
35.747700103448274,51.39638581159421,Rah-e Kamal Yoga Studio | يوگا راه كمال (يوگا راه كمال),35.74692848572213,51.39742012401081,Yoga Studio,52de8d6b498e1784cc49117d
35.747700103448274,51.39638581159421,Engar Café Gallery (کافه گالری انگار),35.744221,51.397787,Café,5c9e1643811045002cdd36f4
35.747700103448274,51.39638581159421,Tempo Café (کافه تمپو),35.744612,51.398842,Lounge,587d0503a19e90680cf42e8c
35.747700103448274,51.39638581159421,Land Café | كافه لند (كافه لند),35.75026350364767,51.39799081996774,Café,57a4c713498e7269d71b5ea9
35.747700103448274,51.39638581159421,Kivano | کیوانو (کیوانو),35.74491566644274,51.39955710860309,Asian Restaurant,524086d9498ed768fb059e4d
35.747700103448274,51.39638581159421,Almond Café & Restaurant | کافه رستوران آلموند (کافه رستوران آلموند),35.744669240635545,51.39874866122604,Café,59666686286fda1af1a83f05
35.747700103448274,51.39638581159421,Cafe Grama,35.74461637006614,51.39888713242262,Café,55240994498eef3943a70169
35.747700103448274,51.39638581159421,Tavrij Apartment Hotel | هتل آپارتمان تاوریژ (هتل آپارتمان تاوریژ),35.75166179169937,51.39828026151185,Hotel,4cd429034944721e7da4f0a6
35.747700103448274,51.39638581159421,Barhos Café | کافه بارهس (کافه بارهس),35.744734,51.398897,Café,5b379cb60d173f002c5a298f
35.747700103448274,51.39638581159421,ASP Dry Cleaners | خشکشویی آ اس پ (خشکشویی آ اس پ),35.74468363750619,51.39874219894409,Dry Cleaner,531dce39498e276add3ee111
35.747700103448274,51.39638581159421,2Bareh Juice Bar,35.74797306712232,51.40102245689584,Juice Bar,552e4662498e4ad8197021d6
35.747700103448274,51.39638581159421,Mahkameh Jewellery | زرگری مهکامه (زرگری مهکامه),35.74438,51.398945,Jewelry Store,5aad10d3dd70c55d8527d3f7
35.75667475862068,51.39638581159421,Mansour Ice Cream | بستنی سنتی منصور (بستنی سنتی منصور),35.75673299613978,51.39858294628481,Ice Cream Shop,4fe327f8e4b031120a0ced9d
35.75667475862068,51.39638581159421,نان آلمانى هورسان,35.758997,51.396068,Bakery,561e4dfe498ee09c16cad2b1
